measure_id,measure_name,measure_format,filter_id,demographics,location_id,location_type,location_name,start_year,end_year,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average,calculation,population,total_cases,median_household_income,num_full_time_prosecutors,total_num_law_enforcement_agencies
51,Violent Cases Received,percentage,1,all defendants,FL079,county,Madison,2009,2013,1000,3653,27.3748,94,2.5087,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,19070,3910,33833,NA,2
51,Violent Cases Received,percentage,1,all defendants,FL081,county,Manatee,2009,2013,14714,43741,33.6389,632,1.4243,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,329487,46819,47876,NA,5
51,Violent Cases Received,percentage,1,all defendants,FL083,county,Marion,2009,2013,10952,42116,26.0044,320,0.7541,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,333503,43742,39453,NA,4
51,Violent Cases Received,percentage,1,all defendants,FL085,county,Martin,2009,2013,3737,17990,20.7727,2520,12.2867,EXCEEDS_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,147786,21433,49846,NA,4
51,Violent Cases Received,percentage,1,all defendants,FL086,county,Miami-Dade,2009,2013,67914,386769,17.5593,53275,12.1067,EXCEEDS_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,2549075,452328,43100,NA,33
51,Violent Cases Received,percentage,1,all defendants,FL087,county,Monroe,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,74213,24849,53607,NA,4
51,Violent Cases Received,percentage,1,all defendants,FL089,county,Nassau,2009,2013,2187,9308,23.4959,27,0.2892,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,74163,9939,55315,NA,2
51,Violent Cases Received,percentage,1,all defendants,FL091,county,Okaloosa,2009,2013,6532,31711,20.5985,590,1.8266,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,185852,33413,54684,NA,6
51,Violent Cases Received,percentage,1,all defendants,FL093,county,Okeechobee,2009,2013,1975,7334,26.9294,23,0.3126,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,39642,7641,34570,NA,2
51,Violent Cases Received,percentage,1,all defendants,FL095,county,Orange,2009,2013,40529,150618,26.9085,10950,6.7773,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1175416,173200,47581,NA,12
51,Violent Cases Received,percentage,1,all defendants,FL097,county,Osceola,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,279837,74115,43891,NA,3
51,Violent Cases Received,percentage,1,all defendants,FL099,county,Palm Beach,2009,2013,42123,173388,24.2941,10928,5.9289,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1339221,184487,52432,NA,21
51,Violent Cases Received,percentage,1,all defendants,FL101,county,Pasco,2009,2013,15261,60380,25.2749,8637,12.5143,EXCEEDS_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,468194,70831,43888,NA,5
51,Violent Cases Received,percentage,1,all defendants,FL103,county,Pinellas,2009,2013,37137,179006,20.7462,4479,2.4411,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,920015,188969,45535,NA,14
51,Violent Cases Received,percentage,1,all defendants,FL105,county,Polk,2009,2013,28787,106941,26.9186,5394,4.8017,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,610295,118472,43113,NA,15
51,Violent Cases Received,percentage,1,all defendants,FL107,county,Putnam,2009,2013,6802,22003,30.914,178,0.8025,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,73683,23478,32497,NA,6
51,Violent Cases Received,percentage,1,all defendants,FL109,county,St. Johns,2009,2013,6814,22962,29.6751,692,2.9255,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,197115,26195,64876,NA,3
51,Violent Cases Received,percentage,1,all defendants,FL111,county,St. Lucie,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,281015,0,43413,NA,3
51,Violent Cases Received,percentage,1,all defendants,FL113,county,Santa Rosa,2009,2013,3863,15601,24.7612,544,3.3695,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,155579,16865,57703,NA,3
51,Violent Cases Received,percentage,1,all defendants,FL115,county,Sarasota,2009,2013,9534,44422,21.4623,1852,4.0022,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,383094,47383,49052,NA,6
51,Violent Cases Received,percentage,1,all defendants,FL117,county,Seminole,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,427184,0,58175,NA,9
51,Violent Cases Received,percentage,1,all defendants,FL119,county,Sumter,2009,2013,1721,7146,24.0834,129,1.7732,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,98409,7894,48493,NA,5
51,Violent Cases Received,percentage,1,all defendants,FL121,county,Suwannee,2009,2013,1403,6029,23.2709,127,2.063,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,42865,6430,35698,NA,2
51,Violent Cases Received,percentage,1,all defendants,FL123,county,Taylor,2009,2013,1115,4683,23.8095,225,4.5844,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,22660,5287,36356,NA,2
51,Violent Cases Received,percentage,1,all defendants,FL125,county,Union,2009,2013,574,2144,26.7724,25,1.1526,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,15307,2344,42660,NA,1
51,Violent Cases Received,percentage,1,all defendants,FL127,county,Volusia,2009,2013,31954,123000,25.9789,5177,4.0389,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,496268,136288,42457,NA,15
51,Violent Cases Received,percentage,1,all defendants,FL129,county,Wakulla,2009,2013,797,3400,23.4412,61,1.7625,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,30824,3651,52691,NA,1
51,Violent Cases Received,percentage,1,all defendants,FL131,county,Walton,2009,2013,1959,11250,17.4133,337,2.9084,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,56590,11888,43640,NA,2
51,Violent Cases Received,percentage,1,all defendants,FL133,county,Washington,2009,2013,1074,3954,27.1624,92,2.2739,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,24702,4244,38501,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL,state,Florida,2009,2013,577742,2629956,21.9677,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,19091156,3097814,46956,NA,NA
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL001,county,Alachua,2009,2013,14610,58137,25.1303,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,249848,62645,42149,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL003,county,Baker,2009,2013,1751,5390,32.4861,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,27069,5769,49236,NA,1
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL005,county,Bay,2009,2013,14955,53354,28.0298,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,170704,57611,47461,NA,7
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL007,county,Bradford,2009,2013,2487,7105,35.0035,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,27981,7662,40259,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL009,county,Brevard,2009,2013,15012,76552,19.6102,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,545667,83634,48039,NA,15
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL011,county,Broward,2009,2013,21556,224304,9.6102,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1784889,239278,51251,NA,19
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL013,county,Calhoun,2009,2013,744,2506,29.6887,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,14700,2654,32780,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL015,county,Charlotte,2009,2013,2645,20191,13.0999,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,161276,20385,44378,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL017,county,Citrus,2009,2013,3321,14076,23.5934,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,140214,14329,39100,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL019,county,Clay,2009,2013,0,22120,0,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,192665,23418,59482,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL021,county,Collier,2009,2013,6182,27777,22.2558,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,328209,29788,55843,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL023,county,Columbia,2009,2013,2297,11938,19.2411,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,67568,12710,38070,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL027,county,DeSoto,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,34651,0,34963,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL029,county,Dixie,2009,2013,542,2463,22.0057,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,16234,2669,33981,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL031,county,Duval,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,872598,245810,48323,NA,7
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL033,county,Escambia,2009,2013,5047,61732,8.1757,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,300795,66998,43918,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL035,county,Flagler,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,97301,0,47233,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL037,county,Franklin,2009,2013,540,3457,15.6205,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,11554,3601,38328,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL039,county,Gadsden,2009,2013,916,6797,13.4765,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,46860,6931,35380,NA,7
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL041,county,Gilchrist,2009,2013,366,2629,13.9216,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,16917,2718,38406,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL043,county,Glades,2009,2013,418,2076,20.1349,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,13080,2156,34694,NA,1
