location_id,CR Self-Represented,CR Private,CR Public Defender,CR Court Appointed,CR Other,CR Unknown,Population,Urban Population,Rural Population,Unemployment Rate,High School Graduates,Below Poverty Line,White Population,African American Population,Median Household Income,"Police Officers per 100,000 Residents",Total Number of Law Enforcement Agencies
FL085,64.6529,85.5518,87.7347,86.8098,97.0149,NA,147786,91.5233,8.4767,12.8,88.8,13,79.7586,5.2231,49846,213.146,4
FL086,NA,NA,70.0423,NA,46.2372,NA,2549075,99.5956,0.4044,11.8,78.8,19.9,15.5649,17.1193,43100,247.8546,33
FL087,55.5556,77.4599,79.9765,85.1613,68.6254,89.0889,74213,91.2861,8.7139,7.5,89.9,13.5,70.295,6.2644,53607,398.852,4
FL089,NA,NA,NA,NA,NA,NA,74163,51.8537,48.1463,10.1,89.4,12.6,87.3454,6.4534,55315,229.2248,2
FL091,89.2523,35.2941,100,75,NA,84.5947,185852,87.9008,12.0992,8.8,90.9,13.4,76.2741,8.7494,54684,206.078,6
FL093,53.6661,81.1392,80.1086,60.339,NA,NA,39642,63.4513,36.5487,15.9,67.8,26.9,64.8302,8.8366,34570,247.2126,2
FL095,42.8571,48.5832,52.1996,59.6899,34.0073,75.0861,1175416,97.9579,2.0421,11.4,87.2,17,45.0696,19.6791,47581,211.0742,12
FL097,NA,NA,NA,NA,NA,NA,279837,92.1789,7.8211,12.8,83.8,17.9,38.9023,9.3269,43891,211.5517,3
FL099,64.9839,56.6804,70.4329,71.4286,NA,81.8021,1339221,98.9575,1.0425,11.8,87.5,14.5,59.2314,17.0303,52432,213.1836,21
FL101,82.9441,76.6358,90.59,91.8334,NA,100,468194,90.5336,9.4664,12.1,87.2,13.9,79.211,4.2809,43888,142.8895,5
FL103,76.7638,79.4926,91.6936,95.3177,90.7434,97.3261,920015,99.716,0.284,10.5,88.9,14.1,76.4243,10.1193,45535,209.4531,14
FL105,66.6667,79.6568,84.6715,87.2727,63.8279,94.3548,610295,86.4895,13.5105,12.6,82.4,18.2,63.8283,14.4124,43113,166.313,15
FL107,61.1957,70.9845,81.1285,74.5308,100,NA,73683,43.8371,56.1629,14.1,77.5,26.4,72.2908,16.0444,32497,207.6463,6
FL109,65.7962,56.5334,82.7559,85.0633,40,65.0458,197115,76.2265,23.7735,7.8,93.2,9.6,84.9387,5.1016,64876,165.3857,3
FL111,NA,NA,NA,NA,NA,NA,281015,96.6428,3.3572,15,85.2,18.4,60.68,18.6332,43413,204.6154,3
FL113,51.9906,70.5882,85.6424,83.9542,69.6203,NA,155579,79.0106,20.9894,11,89.4,12.3,83.9676,5.2873,57703,134.33690000000001,3
FL115,67.3513,71.0712,87.3304,82.5397,86.2745,100,383094,95.6795,4.3205,11.4,91.9,12.2,84.2811,4.3326,49052,177.5021,6
FL117,NA,NA,NA,NA,NA,NA,427184,96.8423,3.1577,10.7,91.8,11.3,65.565,10.6558,58175,205.7661,9
FL119,72.1976,73.3654,83.2386,78.8177,66.6667,NA,98409,65.0353,34.9647,13.2,87.8,12,83.2515,8.988,48493,173.7646,5
FL121,65.4469,63.3678,86.0492,80.531,73.2673,NA,42865,16.8323,83.1677,11.7,79.8,23.6,76.0667,12.0261,35698,146.9731,2
FL123,69.537,81.0547,90.5218,91.2162,NA,NA,22660,30.7178,69.2822,13.2,76.5,16.7,72.7538,20.9929,36356,255.9576,2
FL125,49.6038,55,65.8915,61.6438,NA,NA,15307,32.5523,67.4477,9.6,73.9,19.6,70.9871,20.4351,42660,84.9285,1
FL127,NA,60.4447,82.4038,90.3888,46.0731,80.723,496268,90.0567,9.9433,11.2,87.6,16.8,74.7634,10.1993,42457,214.8033,15
FL129,68.6025,88.4514,92.5743,95.1673,90.7407,NA,30824,38.3221,61.6779,10.5,87.7,14.4,79.4251,14.8261,52691,184.9208,1
FL131,71.4325,67.6396,87.0237,87.0488,100,NA,56590,36.8748,63.1252,9.9,84.5,17.9,84.522,5.3296,43640,321.6116,2
FL133,91.6963,78.9062,89.6146,90.8602,NA,NA,24702,15.4483,84.5517,13.5,80.3,20.1,77.9653,14.5332,38501,267.1848,2
