location_id,CR Self-Represented,CR Private,CR Public Defender,CR Court Appointed,CR Other,CR Unknown,Population,Urban Population,Rural Population,Unemployment Rate,Below Poverty Line,White Population,African American Population,Median Household Income,Number of Criminal Court Judges,"Police Officers per 100,000 Residents",Total Number of Law Enforcement Agencies,Number of Full-Time Prosecutors,Number of Part-Time Prosecutors,High School Graduates
PA097,81.25,67.2158,75.8242,81.0345,NA,55.8747,94444,65.1394,34.8606,9.3,14.2,93.9393,2.2542,41208,9,94.2357,16,5,1,85.3
PA099,100,74.2927,87.6747,100,NA,85.5072,45808,11.5012,88.4988,8,9.7,96.4046,0.716,57375,6,19.6472,7,1,1,86.7
PA101,77.7778,59.5674,56.0342,62.2474,NA,30.4221,1536704,100,0,15.1,26.5,36.5862,42.0186,37192,113,430.9874,5,NA,0,81.2
PA103,NA,67.5882,84.9953,93.1818,NA,70.3297,57179,29.2388,70.7612,13.4,9.1,82.5635,5.0281,59340,6,57.7135,7,NA,NA,91.3
PA105,NA,86.3768,88.0682,96.1538,NA,66.6667,17487,0,100,7.6,15.1,97.1465,0.3603,41547,5,57.1853,6,NA,NA,88.4
PA107,91.6667,62.0224,75.0213,79.5608,NA,44.9931,147700,63.5388,36.4612,9.6,12.8,92.8863,2.5085,45012,14,73.7982,47,7,1,86.4
PA109,NA,60.8764,78.3934,86.5922,NA,59.0734,39711,33.1797,66.8203,6.3,11.9,95.8374,0.9645,46513,6,37.7729,5,1,2,82.6
PA111,50,67.0051,76.0226,82.3529,NA,49.7487,77341,29.1979,70.8021,8.5,12.4,95.3492,2.2718,43597,10,54.305,17,2,4,85.6
PA113,NA,55.102,67.1795,83.3333,NA,32,6419,0,100,7.9,13.9,96.2923,1.4956,40964,2,0,1,1,0,87.3
PA115,81.8182,60.8924,62.6301,69.9301,NA,37.6033,42948,15.9701,84.0299,8.6,12.9,96.9265,0.5239,48231,5,39.5828,8,1,1,89
PA117,NA,61.3174,61.2267,66.6667,NA,39.1304,42267,9.8902,90.1098,8.6,15.3,96.463,0.7949,44187,4,52.0501,12,2,0,88.4
PA119,NA,70.4641,84.2795,85.0299,NA,55.7851,44932,57.1851,42.8149,8,12.3,84.9172,6.65,48528,6,51.1885,7,NA,NA,84.8
PA121,NA,81.2558,77.7296,82.3362,NA,66.9643,54590,45.2441,54.7559,8.5,16,96.2777,0.7309,41977,6,76.9372,6,NA,NA,88.8
PA123,100,63.6538,73.8332,79.9127,NA,39.7129,41429,44.9576,55.0424,7.4,12.6,97.4607,0.4369,43764,7,67.5855,5,3,0,89.6
PA125,93.3333,61.3025,78.7596,83.7461,NA,57.8501,208047,69.1752,30.8248,7.5,10.5,93.302,3.0777,53693,17,107.1873,24,10,0,90.4
PA127,NA,81.0294,84.6596,87.5,NA,46.7742,52212,11.906,88.094,7.9,12.2,91.7011,3.1506,49313,5,70.8649,5,3,2,87.7
PA129,93.8462,70.2291,86.8231,88.5129,NA,49.2853,364090,74.6364,25.3636,6.9,10.2,94.6055,2.2926,50736,33,80.2,34,23,0,92.1
PA131,75,61.3815,77.0596,84.7826,NA,29.4872,28177,16.5441,83.4559,7.9,12.1,96.1458,0.685,48482,3,42.5879,7,2,1,89.2
PA133,100,71.8697,78.3458,85.6498,NA,70.553,436339,75.2796,24.7204,8.8,10.1,85.8053,4.951,58745,35,125.1321,22,28,0,88.1
