location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr
FL031,FL,872598,97.0885,2.9115,8.8514,11.7,4.5964,16.9,56.1493,28.8844,0.2592,4.1606,2.68,7.8669,48323,23.6,NA,201.3527,42.86,7,NA,1757,18.5,7.15,842583,NA,87.9,Jacksonville,NA,NA,NA,NA,NA,NA,13.679230247668103,13.644228639502709,county,Duval,NA,NA,NA,NA
FL033,FL,300795,91.6978,8.3022,7.477,12,2.6071,18.1,66.0177,21.9059,0.4907,2.7348,3.91,4.9389,43918,22.2,NA,226.7325,100,2,NA,682,19.1,8.89,51923,NA,87.9,Pensacola,64.0957,72.4362,74.9699,71.0988,80,NA,12.614184248579244,10.857536390012886,county,Escambia,0.21552136626302035,0.4744561816776473,0.06297618609444587,0.24695424932827856
FL035,FL,97301,89.6788,10.3212,5.3749,12.4,4.1644,16.6,75.7628,10.8735,0.0802,2.2127,2.05,9.0184,47233,26.4,NA,170.6046,33.33,3,NA,166,11.7,5.09,78740,NA,90.2,Palm Coast,NA,NA,NA,NA,NA,NA,11.485564545613576,11.273919264442483,county,Flagler,NA,NA,NA,NA
FL037,FL,11554,31.9595,68.0405,5.6125,12,1.8608,20.6,79.0549,14.7568,0.1731,0.5193,0.8,4.691,38328,22.3,NA,432.7506,0,3,NA,50,19.9,6.48,2788,NA,79.3,Carrabelle,70.9109,76.0181,92.8707,85.4839,NA,NA,9.354786976341211,7.933438387627489,county,Franklin,0.08289572393098274,0.3945986496624156,0.13953488372093023,0.38297074268567144
FL039,FL,46860,34.6203,65.3797,10.3349,14.1,4.315,26.5,33.2864,55.0384,0.1024,0.446,1.21,9.9189,35380,28,NA,228.3397,14.29,7,NA,107,10.7,6.23,7965,NA,77.2,Quincy,90.4124,68.5535,76.4948,77.4419,81.8182,0,10.754919712061787,8.982937763741589,county,Gadsden,0.06428138265615524,0.4428946836466545,0.08692136648473822,0.39215686274509803
FL041,FL,16917,16.0812,83.9188,4.1667,16.5,2.3645,24.1,87.616,5.592,0.2364,0.4965,1.1,4.9595,38406,31.3,NA,200.9813,0,2,NA,34,15,11.65,1717,NA,79.8,Trenton,13.9442,62.3762,60.0522,68.4211,100,NA,9.736074312475292,7.4489161025442,county,Gilchrist,0.10564853556485355,0.4006276150627615,0.09937238493723849,0.3938284518828452
FL043,FL,13080,29.362,70.638,6.6094,15.8,10.344,24.5,61.2003,12.2324,4.3043,0.5428,0.42,21.2997,34694,24.5,NA,733.945,0,1,NA,96,12.5,6.27,1680,NA,78,Moore Haven,66.1504,60.3175,73.7179,70.5882,NA,NA,9.47883962501119,7.427144133408616,county,Glades,0.21844660194174756,0.43273231622746183,0.03536754507628294,0.31345353675450766
FL045,FL,15793,22.915,77.085,5.7628,11.9,1.7286,16.4,74.3051,18.3626,0.7028,0.9118,1.24,4.4767,40455,24.4,NA,430.5705,0,2,NA,68,15,6.97,3435,NA,79.5,Port St. Joe,75.985,71.4286,84.9673,86.2745,NA,NA,9.667322082870054,8.142063283104147,county,Gulf,0.0867579908675799,0.49902152641878667,0.06653620352250489,0.3476842791911285
FL047,FL,14655,36.516,63.484,6.8284,16.3,2.5725,23.6,54.9642,34.8345,0.2593,0.1433,0.85,8.9526,37716,24.2,NA,204.7083,0,3,NA,30,17.1,12.69,4221,NA,75.1,Jasper,80.5839,83.7607,86.7746,89.6296,NA,NA,9.592536853144992,8.348064228408266,county,Hamilton,0.0697258641239571,0.44159713945172824,0.08045292014302742,0.40822407628128726
FL049,FL,27336,52.1907,47.8093,9.8754,13.9,17.0069,29.6,47.86,7.1554,0.1097,1.167,0.84,42.8702,37125,25.6,NA,248.7562,0,5,NA,68,13.6,7.96,4952,NA,64.2,Wauchula,46.6797,69.6793,80.4854,90.4762,89.0909,NA,10.215959793795127,8.507748732588238,county,Hardee,0.093435031326614,0.5611549986379734,0.051484609098338324,0.2789430672841188
