location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr,percent_o,percent_u,percent_uo
OR027,OR,22427,47.8251,52.1749,5.1694,5.3,14.4781,11.6,65.6084,0.486,0.1739,1.3243,2.59,29.8167,56725,17,NA,NA,NA,NA,NA,NA,9.2,6.33,NA,NA,84.1,NA,NA,50.1493,70.4026,71.4634,NA,39.5349,10.018020869126289,NA,county,Hood River,0.12412004446091145,0.3404964801778436,0.45572434234901815,0,0,0.07965913301222675,0.07965913301222675
OR029,OR,205117,79.9474,20.0526,6.9618,13.1,3.4912,17.2,83.1774,0.624,0.6547,0.9526,3.5,11.0907,44005,19.4,NA,NA,NA,NA,NA,NA,19.1,6.15,NA,NA,89.1,NA,50,57.8804,86.4078,73.0811,NA,52.2036,12.231335827022464,NA,county,Jackson,0.08372516305172152,0.003905657515546792,0.7015015925982102,7.583801001061732e-5,0,0.21079174882451085,0.21079174882451085
OR031,OR,21461,36.8785,63.1215,7.5362,16.1,5.0277,19.8,61.0363,0.6337,15.5724,0.7129,2.37,19.6776,43373,21.3,NA,NA,NA,NA,NA,NA,18.1,6.26,NA,NA,84.7,NA,NA,68.4729,100,81.0559,NA,65.5612,9.973992613421482,NA,county,Jefferson,0.057818285388778125,0.005126744517231558,0.8254058672742808,0,0,0.11164910281970948,0.11164910281970948
OR033,OR,82783,55.0361,44.9639,5.0567,15.2,1.3094,20.2,88.3176,0.3382,1.5994,0.6439,2.58,6.5255,37733,19.4,NA,NA,NA,NA,NA,NA,14,6,NA,NA,88.4,NA,NA,64.3939,96.3768,80.4706,NA,45.6522,11.323978005283882,NA,county,Josephine,0.09747863698702394,0.014558497731828253,0.8248760417765587,0,0,0.06308682350458909,0.06308682350458909
OR035,OR,66211,62.4194,37.5806,6.8814,13.8,3.3121,18.9,80.467,0.6842,3.5191,0.956,3.48,10.8985,39627,17.9,NA,NA,NA,NA,NA,NA,17.9,6.73,NA,NA,87.7,NA,50,56.3233,100,70.2232,NA,39.814,11.100601891263528,NA,county,Klamath,0.057586905923868156,2.252421352954426e-4,0.8613259253697725,1.5016142353029506e-4,0,0.0807117651475336,0.0807117651475336
OR037,OR,7862,36.6688,63.3312,2.5238,13.3,2.8873,20.1,86.5174,0.4833,1.3864,0.5215,3.79,7.3009,33611,12.4,NA,NA,NA,NA,NA,NA,22.2,5.55,NA,NA,83.7,NA,NA,50.8621,NA,72.8471,NA,25.5682,8.969796305981806,NA,county,Lake,0.1500646830530401,0,0.7360931435963778,0,0,0.11384217335058215,0.11384217335058215
OR039,OR,353382,82.477,17.523,5.9498,12.3,3.6736,20,84.1509,0.8753,0.9214,2.4212,4,7.6289,42931,19.6,NA,NA,NA,NA,NA,NA,22.1,8.43,NA,NA,91.1,NA,30,67.0425,79.8054,77.3031,NA,26.8775,12.775304903784486,NA,county,Lane,0.08720722331485786,0.7580904702306455,0.12032898265689254,4.4698730556052207e-4,0,0.03392633649204362,0.03392633649204362
OR041,OR,46070,62.4104,37.5896,4.8821,10.3,3.6314,16,83.8463,0.3147,2.2639,1.3393,4.13,8.1094,42365,19.2,NA,NA,NA,NA,NA,NA,16.1,5.18,NA,NA,89.9,NA,0,45.7457,89.2086,66.2254,NA,74.3842,10.737917257929963,NA,county,Lincoln,0.11410622501427756,0.015876641918903485,0.7074814391776127,2.284408909194746e-4,0,0.1623072529982867,0.1623072529982867
OR043,OR,117648,68.3617,31.6383,7.522,10.8,2.8857,17.8,86.7571,0.453,1.6311,0.9647,2.23,7.9653,46939,22.4,NA,NA,NA,NA,NA,NA,15.9,6.17,NA,NA,89.1,NA,50,68.4641,100,83.6808,NA,42.399,11.675452394436004,NA,county,Linn,0.11434977578475336,1.868460388639761e-4,0.8066143497757847,1.868460388639761e-4,0,0.07866218236173393,0.07866218236173393
OR045,OR,30898,51.5824,48.4176,6.9455,14.6,8.2821,27.4,62.9814,0.8609,0.3722,1.67,2.06,32.0539,35578,17.3,NA,NA,NA,NA,NA,NA,15.2,7.77,NA,NA,80.4,NA,50,57.0652,91.3043,77.5504,NA,44.697,10.338446735871996,NA,county,Malheur,0.09725158562367865,0.006078224101479916,0.8263742071881607,5.285412262156448e-4,0,0.06976744186046512,0.06976744186046512
